"channel_id","date","time","utc_time","along_channel_distance","CoordX","CoordY","longitude","latitude","water_surface_elevation_NAVD88","water_surface_elevation_WGS84","water_surface_elevation_uncertainty"
"WLO","2015-05-08","11:15:10",40510,4850,657342.43,3286733.29,-91.3735939,29.7007487,1.502,-24.031,0.076
"WLO","2015-05-08","11:15:10",40510,4900,657326.98,3286685.74,-91.3737605,29.7003216,1.491,-24.041,0.076
"WLO","2015-05-08","11:15:10",40510,4950,657311.53,3286638.18,-91.3739271,29.6998946,1.48,-24.051,0.076
"WLO","2015-05-08","11:15:10",40510,5000,657296.08,3286590.63,-91.3740936,29.6994675,1.47,-24.062,0.076
"WLO","2015-05-08","11:15:10",40510,5050,657280.63,3286543.08,-91.3742602,29.6990405,1.459,-24.072,0.076
"WLO","2015-05-08","11:15:10",40510,5100,657265.18,3286495.52,-91.3744267,29.6986134,1.448,-24.082,0.076
"WLO","2015-05-08","11:15:10",40510,5150,657249.73,3286447.97,-91.3745933,29.6981864,1.438,-24.092,0.076
"WLO","2015-05-08","11:15:10",40510,5200,657234.28,3286400.42,-91.3747598,29.6977594,1.427,-24.102,0.076
"WLO","2015-05-08","11:15:10",40510,5250,657218.83,3286352.87,-91.3749264,29.6973324,1.415,-24.114,0.075
"WLO","2015-05-08","11:15:10",40510,5300,657203.38,3286305.31,-91.3750929,29.6969053,1.404,-24.125,0.075
"WLO","2015-05-08","11:15:10",40510,5350,657187.92,3286257.76,-91.3752596,29.6964783,1.392,-24.137,0.075
"WLO","2015-05-08","11:15:10",40510,5400,657172.47,3286210.21,-91.3754261,29.6960513,1.38,-24.148,0.075
"WLO","2015-05-08","11:15:10",40510,5450,657157.02,3286162.65,-91.3755927,29.6956242,1.368,-24.16,0.075
"WLO","2015-05-08","11:15:10",40510,5500,657141.57,3286115.1,-91.3757592,29.6951972,1.356,-24.171,0.075
"WLO","2015-05-08","11:15:10",40510,5550,657126.12,3286067.55,-91.3759258,29.6947702,1.344,-24.182,0.075
"WLO","2015-05-08","11:15:10",40510,5600,657110.67,3286020,-91.3760923,29.6943432,1.331,-24.194,0.075
"WLO","2015-05-08","11:15:10",40510,5650,657095.22,3285972.44,-91.3762588,29.6939161,1.319,-24.206,0.075
"WLO","2015-05-08","11:15:10",40510,5700,657079.77,3285924.89,-91.3764254,29.6934891,1.307,-24.217,0.075
"WLO","2015-05-08","11:15:10",40510,5750,657064.32,3285877.34,-91.3765919,29.6930621,1.295,-24.229,0.075
"WLO","2015-05-08","11:15:10",40510,5800,657048.87,3285829.79,-91.3767584,29.692635,1.282,-24.24,0.075
"WLO","2015-05-08","11:15:10",40510,5850,657033.42,3285782.23,-91.376925,29.6922079,1.27,-24.252,0.075
"WLO","2015-05-08","11:15:10",40510,5900,657017.96,3285734.68,-91.3770916,29.6917809,1.258,-24.263,0.075
